"x" "y" "convex"
-5.580388343 -3.299871389 TRUE
-5.4 -1.3 FALSE
-1.500388343 -0.959871389 TRUE
-5.040388343 -0.219871389 FALSE
-5.780388343 1.640128611 FALSE
-1.980388343 3.940128611 FALSE
3.48 1.74 FALSE
2.2 -4.58 FALSE
1.279611657 -4.479871389 FALSE
0.559611657 -3.379871389 TRUE
1.039611657 -4.899871389 FALSE
0.679611657 -6.239871389 TRUE
2.219611657 -5.699871389 FALSE
3.019611657 -7.339871389 TRUE
2.559611657 -5.619871389 FALSE
3.159611657 -4.759871389 FALSE
5.179611657 -5.399871389 TRUE
3.266646816 -4.352836229 FALSE
4.005642727 -0.891223805 FALSE
7.752481643 -0.891223805 TRUE
5.457704867 -0.307805981 FALSE
3.090460879 5.135904662 FALSE
4.025298861 6.818613028 TRUE
2.384138849 5.302098081 FALSE
-4.533662212 5.925323402 FALSE
-5.510048548 7.35874164 TRUE
-5.198435887 5.4682915 FALSE
-7.46282122 -0.473123225 FALSE
-9.374045537 -1.241767787 TRUE
-6.06 -1.26 FALSE
