"x" "y" "convex"
-7.071067812 -10 TRUE
-7.071067812 -2 FALSE
-1.414213562 6 FALSE
4.242640687 2 FALSE
1.414213562 -2 FALSE
-1.414213562 0 FALSE
-2.22045e-16 2 FALSE
1.414213562 1.015650834 FALSE
0.722757615 0.031301668 FALSE
0.031301668 0.031301668 TRUE
0.593332394 -0.543450402 FALSE
0.722757615 -1.275805113 TRUE
0.722757615 -0.675805113 FALSE
2.263001139 0.864438411 FALSE
3.164213562 1.015650834 TRUE
2.414213562 1.015650834 FALSE
0.314092874 3.102156886 FALSE
-2.22045e-16 4.414213562 TRUE
0 3.414213562 FALSE
-3.076031115 0.338182447 FALSE
-4.914213562 0 TRUE
-3.414213562 0 FALSE
1.040083568 -4.45429713 FALSE
1.414213562 -6.828427125 TRUE
1.414213562 -4.828427125 FALSE
7.946925041 1.704284354 FALSE
10.24264069 2 TRUE
8.242640687 2 FALSE
-1.048552087 11.29119277 FALSE
-1.414213562 14.15685425 TRUE
-1.414213562 11.65685425 FALSE
-14.64961207 -1.578544263 FALSE
-18.07106781 -2 TRUE
-15.07106781 -2 FALSE
